user_id,username,first_name,last_name,is_premium,is_verified,already_whitelisted,action
461817663,,William,,True,False,False,add
123170902,user_1441,Mark,Thompson,False,False,False,add
343546939,user_5242,Kate,Johnson,False,False,False,add
327010745,user_5648,David,Williams,False,False,False,add
376930647,,Alex,Jackson,False,False,False,add
589944892,user_4047,Tom,Taylor,True,False,False,add
775906182,user_9272,William,Lee,False,False,False,add
646277292,user_5098,Nina,Lee,False,False,False,add
163353363,user_9186,Sofia,Williams,False,False,False,add
505291677,user_7777,Lisa,,False,False,False,add
977592040,user_8181,Daniel,,False,False,False,add
205348799,user_8665,Natasha,Moore,True,False,False,add
674461794,user_5314,Emma,,True,False,False,add
335243269,user_7814,Lisa,,False,False,False,add
305755472,user_6618,Diana,Moore,False,False,False,add
538075458,user_4961,John,,True,False,False,add
785792442,user_8466,Lisa,Thomas,False,False,False,add
806170346,,Victoria,Moore,False,False,False,add
824227275,user_7292,Julia,,False,False,False,add
477956296,user_1957,Peter,,False,False,False,add
515331337,user_1052,Tom,Martin,False,False,False,add
633715089,user_1005,Victoria,Moore,False,False,False,add
654078361,,Michael,Brown,False,False,False,add
912811789,,Lisa,Davis,False,False,False,add
630874986,user_6184,Irina,Thomas,False,False,False,add
285197503,user_6077,Julia,,False,False,False,add
856328955,user_9605,Eva,,False,False,False,add
710780483,user_2060,Sofia,,True,False,False,add
736497000,user_5346,Daniel,,False,False,False,add
982073775,user_1452,Olga,Williams,False,False,False,add
622351482,user_6700,Michael,,True,False,False,add
402199449,user_7802,David,,False,False,False,add
500167124,,Natasha,,False,False,False,add
677682273,,Elena,Lee,False,False,False,add
419480777,user_7602,Lisa,,True,False,False,add
231163338,user_3850,Diana,,False,False,False,add
891744720,,Peter,,False,False,False,add
796775760,,Anna,,False,False,False,add
885623015,,Maria,,False,False,False,add
952641178,user_6699,Steve,,False,False,False,add
538000139,user_1573,Elena,Martinez,False,False,False,add
588620595,,Lisa,,False,False,False,add
145607718,,Kate,,False,False,False,add
318336364,user_1449,Maria,Gonzalez,False,False,False,add
727098447,user_4141,Daniel,Garcia,False,False,False,add
407462862,,Steve,,False,False,False,add
956883058,user_3838,Peter,,True,False,False,add
315813484,user_3806,Sofia,Taylor,False,False,False,add
944119636,,Peter,Jones,False,False,False,add
232677921,,Maria,Thompson,False,False,False,add
930559459,user_7185,Diana,,False,False,False,add
378771681,user_6629,Diana,,False,False,False,add
498417595,user_7530,John,,False,False,False,add
945963171,user_2907,Peter,Brown,False,False,False,add
125715849,,Irina,,False,False,False,add
454399016,user_2181,Nina,Thompson,False,False,False,add
921143337,user_6887,Mark,,False,False,False,add
926494218,user_4324,William,Thomas,False,False,False,add
501651512,user_2338,Sofia,,False,False,False,add
810203093,user_6600,Irina,Johnson,False,False,False,add
908502429,user_1595,Emma,Garcia,False,False,False,add
352814323,user_3531,Elena,White,False,False,False,add
712030900,user_9846,Diana,Jones,False,False,False,add
406002135,,Irina,,False,False,False,add
294188768,user_6696,Natasha,,False,False,False,add
377586996,user_5919,Kate,,False,False,False,add
996324735,user_3062,Lisa,Rodriguez,False,False,False,add
630652653,user_4350,Anna,Davis,False,False,False,add
162606570,user_1066,Tom,Moore,False,False,False,add
795862348,user_8669,Michael,Hernandez,True,False,False,add
936520886,user_6101,Peter,,True,False,False,add
680368057,user_7278,Alex,Perez,False,False,False,add
331333841,user_9221,David,Perez,False,False,False,add
631821346,user_4669,Kate,Anderson,False,False,False,add
326764822,user_1184,Alex,Martinez,False,False,False,add
718510661,,Maria,Garcia,False,False,False,add
608364698,user_1270,Alex,Williams,False,False,False,add
420109782,user_2513,Daniel,,False,False,False,add
187663103,user_2255,Natasha,,False,False,False,add
520452306,user_4639,Michael,Perez,False,False,False,add
213105431,user_8624,Steve,Rodriguez,False,False,False,add
959265873,user_6857,John,Miller,False,False,False,add
606489077,,Natasha,Taylor,False,False,False,add
986477931,user_8524,Paul,,False,False,False,add
314722455,,Steve,,False,False,False,add
557873906,user_8735,Victoria,,False,False,False,add
292097974,user_9754,Mark,,True,False,False,add
237389301,user_3836,Michael,Smith,False,False,False,add
397782166,user_1537,James,,False,False,False,add
266096985,,Nina,Anderson,False,False,False,add
176098971,,Eva,Lee,False,False,False,add
573387082,user_4682,Robert,Thomas,False,False,False,add
309049353,user_2448,Diana,Lee,False,False,False,add
680580750,user_1482,Julia,Wilson,False,False,False,add
923209905,user_2848,Mark,,False,False,False,add
315732373,user_6793,Robert,,True,False,False,add
893646943,user_6080,Sofia,,False,False,False,add
356948597,,Steve,White,False,False,False,add
459613173,user_1366,Diana,Miller,True,False,False,add
287439583,user_6107,Nina,Moore,False,False,False,add
934152884,user_6705,Lisa,,False,False,False,add
840922726,user_2470,Natasha,Johnson,False,False,False,add
107884593,,Michael,,False,False,False,add
213310443,user_6146,Mark,,False,False,False,add
376956222,,David,,False,False,False,add
596183788,,Steve,Jackson,False,False,False,add
648739590,user_9659,Mark,Rodriguez,False,False,False,add
593779598,user_9177,Emma,,True,False,False,add
722765491,user_5835,Olga,,False,False,False,add
905874041,user_2170,Peter,Williams,False,False,False,add
